specimen_id,species,width_i,width_h,width_r,height_i,height_h,height_r,avg_i,avg_h,avg_r
062723-MOHK-004-H,EGME,2.7,2.4,2.6,28.4,26.5,27.9,0.17,0.0381,0.16
062723-MOHK-004-I,EGME,3.5,3.3,3.5,16.9,15.3,16.6,0.17,0.048,0.18
062723-MOHK-004-J,EGME,4.5,4.2,5,11,10.1,11,0.16,0.0359,0.11
062723-MOHK-007-F,EGME,2.7,1.9,2.2,22.1,20.2,21.6,0.19,0.0478,0.15
062723-MOHK-007-G,EGME,3.4,3,3.4,21.7,20.3,21.2,0.19,0.0424,0.16
071123-NAPL-022-B,CC,8.6,6.9,8.6,11,10.3,10.8,0.42,0.18,0.35
071123-NAPL-023-B,CC,6.9,5.6,7,21.7,20.4,21.6,0.38,0.17,0.32
071123-NAPL-023-CDE,CC,6.2,4.9,6.3,16.8,14.1,17.5,0.36,0.14,0.25
071123-NAPL-024-D,CC,7.42,6.65,7.4,13,10.7,13.3,0.46,0.18,0.36
071123-NAPL-024-E,CC,4.76,3.34,4.7,16,13.4,16,0.44,0.16,0.41
071123-NAPL-024-Z,CC,3.53,2.57,3.54,29.4,24.9,29.7,0.51,0.78,0.57
071123-NAPL-024-A,CC,15.83,11.85,16.4,20,17.9,20.5,0.26,0.22,0.41
071123-NAPL-024-B,CC,9.82,7.02,10,11.5,9.5,11.5,0.45,0.23,0.53
071123-NAPL-024-C,CC,8.77,6.07,7.63,36.5,28.6,37,0.67,0.23,0.62
071123-NAPL-025-A,CC,9.8,7.7,10.2,33.3,25.1,33.5,0.38,0.14,0.46
071123-NAPL-025-B,CC,10.3,7.8,10,14.6,12.6,14.8,0.34,0.15,0.35
071123-NAPL-025-C,CC,8,6.3,8.1,22.6,18.6,22.9,0.36,0.15,0.4
071123-NAPL-026-A,CC,14.9,11.2,14.9,24.1,18.9,24.2,0.47,0.27,0.67
071123-NAPL-026-B,CC,24.5,18.2,24,20.5,17.2,20.5,0.77,0.31,0.65
071123-NAPL-026-C,CC,14.31,10.6,14.5,27.1,21.1,28.2,0.58,0.24,0.56
071123-NAPL-026-D,CC,4.6,3.2,4.4,24.5,19.1,24,0.46,0.14,0.4
073123-CARP-010-A,DP,2.4,11.59,2.14,21.6,17.1,21.5,0.2,0.13,0.12
073123-CARP-010-B,DP,2.34,1.7,2.4,13.6,10.9,12.8,0.17,0.1319,0.14
073123-CARP-010-C,DP,1.8,0.9,1.179,15.42,13.6,14.3,0.27,0.1069,0.11
073123-CARP-011-A,DP,1.7,1.43,1.69,17.6,15.3,17.6,0.17,0.1312,0.21
073123-CARP-011-B,DP,1.81,1.18,1.91,15.5,13.2,14.55,0.18,0.1166,0.16
073123-CARP-011-C,DP,1.83,1.313,1.64,16.3,13.9,15.3,0.18,0.1235,0.17
073123-CARP-001-A,DP,1.4,1.12,1.42,12.8,11.1,12.2,0.27,0.1014,0.14
073123-CARP-001-B,DP,1.45,1,1.43,24.5,22.3,24.5,0.26,0.0914,0.14
073123-CARP-001-C,DP,1.61,1.19,1.43,7.9,5.8,7.5,0.25,0.0977,0.14
073123-CARP-002-A,DP,2.6,2.37,2.59,5,4.5,5.3,0.13,0.135,0.18
073123-CARP-002-B,DP,2.7,2.48,2.61,7.2,6.1,7.1,0.11,0.1469,0.17
073123-CARP-002-C,DP,1.66,1.25,1.53,17.2,14.4,16.3,0.14,0.1443,0.16
073123-CARP-003-A,DP,2.33,1.96,2.23,23.3,19.7,21.6,0.2,0.1013,0.1
073123-CARP-003-B,DP,1.62,1.11,1.56,21.3,14.5,20.4,0.19,0.13617,0.1
073123-CARP-003-C,DP,2.15,1.6,2.3,19.8,17.6,18.8,1.58,0.1035,0.1
073123-CARP-004-A,DP,1.25,1,1.15,20,14.9,19.2,1.42,0.1319,0.13
073123-CARP-004-B,DP,1.97,1.12,2.12,20,14.1,19.5,1.84,0.1041,0.17
073123-CARP-005-A,GR,1.94,1.76,1.96,10,8.6,11.3,1.89,0.95,1.38
073123-CARP-005-B,GR,3.32,2.79,3.01,16.7,15.5,16.9,1.51,1.12,1.22
073123-CARP-005-C,GR,1.98,1.49,1.96,23.6,22.3,23.3,1.52,1.12,1.27
073123-CARP-006-A,GR,3.33,2.63,3.18,29.2,28.1,29.1,1.45,1.25,1.37
073123-CARP-006-B,GR,3.24,2.33,3.01,27.1,24,27,1.79,1.14,1.39
073123-CARP-007-A,GR,1.09,0.58,0.97,20,16.6,19.5,1.52,1.32,1.61
073123-CARP-008-A,GR,1.91,1.75,1.93,20.56,20,20.1,1.45,1.2,1.37
073123-CARP-009-A,GR,1.42,1.34,1.43,21.7,20.9,21.1,1.79,1.14,1.29
080723-MOHK-10-A,CYOS,2.9,1.8,2.1,23.2,23,23,0.81,0.2154,0.19
080723-MOHK-010-B,CYOS,8.1,6.6,8.1,17.2,16.8,17,0.72,0.186,0.17
080723-MOHK-010-C,CYOS,10.4,8.9,10,13.3,11.3,12.7,0.68,0.242,0.24
080723-MOHK-011-A,CYOS,5.5,4.8,5.5,27.3,24.6,26.2,0.52,0.1567,0.21
080723-MOHK-11-B,CYOS,2.9,2.7,3.2,30.1,27.1,29.1,0.85,0.2246,0.24
080723-MOHK-11-C,CYOS,3.5,2.2,3.4,25.7,23.3,25.1,0.54,0.1625,0.2
080723-MOHK-12-A,CYOS,5.6,4.5,5.1,46.9,24.1,46.5,0.65,0.235,0.22
080723-MOHK-12-B,CYOS,7,6.9,7.2,25.5,21.8,25.3,0.7,0.1764,0.21
080723-MOHK-12-C,CYOS,8.2,5.9,8.1,35.9,31.9,35.2,0.8,0.2542,0.22
080723-MOHK-13-A,R,7.5,6.2,8.1,21.4,19.7,20.8,0.13,0.0777,0.12
080723-MOHK-13-B,R,3.7,3,3.9,46.4,26.8,44.9,0.13,0.092,0.15
080723-MOHK-16-A,R,4,3.3,3.8,8.7,7,8.1,0.1,0.0486,0.1
080723-MOHK-16-B,R,2.7,2.5,2.7,8,7.4,8,0.1,0.0381,0.1
080723-MOHK-15-A,R,14,16.9,12.5,3.7,3.3,3.7,0.18,0.0627,0.19
080723-MOHK-15-B,R,12.5,13.8,11.7,2.5,2.3,2.5,0.14,0.0663,0.16
080723-MOHK-15-C,R,12,14.2,12.3,10.9,9.5,21.5,0.13,0.0746,0.15
080723-MOHK-14-A,R,4,8.4,3.7,11.5,7.9,10.9,0.14,0.0843,0.15
080723-MOHK-014-B,R,4.9,6.3,4.7,10.1,9.3,10,0.12,0.1153,0.15
080723-MOHK-014-C,R,6,6.7,5.6,7.1,6.6,6.9,0.14,0.1219,0.17
080723-MOHK-022-A,R,1.74,1.5,1.63,7.4,7,7.2,0.56,0.2862,0.56
080723-MOHK-022-B,R,1.72,1.25,1.74,7.8,6.6,7.6,0.43,0.2258,0.35
080723-MOHK-022-C,R,2.83,2.23,2.55,22.6,20,22.7,0.52,0.2819,0.49
080723-MOHK-021-A,CO,1.18,1.17,1.18,12.3,11,12.3,0.49,0.6123,0.59
080723-MOHK-021-B,CO,3.6,3.4,3.6,19.4,17.2,19.5,0.62,0.5951,0.47
080723-MOHK-021-C,CO,3.7,3,3.8,4.8,4.6,4.8,0.55,0.6256,0.47
080723-MOHK-020-A,CO,6,5.9,6,9.7,9.5,9.5,0.57,0.5128,0.53
080723-MOHK-020-B,CO,3,2.5,2.8,12.5,11.9,12.6,0.54,0.55,0.44
080723-MOHK-020-C,CO,3,1.9,3,15.8,15.1,15.5,0.43,0.54,0.47
080723-MOHK-019-A,CO,3.3,4.2,3.2,13,12.3,12.9,0.6,0.49,0.53
080723-MOHK-019-B,CO,2.9,2.2,2.9,15.2,13.2,15.3,0.54,0.55,0.46
080723-MOHK-019-C,CO,5,4.9,4.9,8.7,8.6,8.8,0.6,0.63,0.56
080723-MOHK-018-A,CO,4.2,4.1,4,7.3,7.1,7.4,0.57,0.51,0.53
080723-MOHK-018-B,CO,4,4,4,9.7,9.5,9.7,0.61,0.47,0.49
080723-MOHK-018-C,CO,3.8,3.9,4,7.5,7.2,7.2,0.56,0.47,0.49
080723-MOHK-017-A,CO,3.6,3.6,3.5,7.8,7.6,7.8,0.61,0.57,0.57
080723-MOHK-017-B,CO,4.2,3.9,3.8,6.7,6.7,6.8,0.55,0.44,0.5
080723-MOHK-017-C,CO,4.1,4,3.9,6.4,6.2,6.4,0.67,0.49,0.63
080723-MOHK-001-A,DP,5.2,3.38,5.2,6.3,4.5,4.7,0.32,0.1531,0.17
080723-MOHK-001-B,DP,3.51,2.63,3.58,7.2,6.7,6.7,0.35,0.1879,0.22
080723-MOHK-001-C,DP,1.78,1.05,1.76,14.9,11.3,12.9,0.34,0.1798,0.19
080723-MOHK-002-A,CO,5,5.1,5,22.6,17.4,20,0.39,0.33,0.6
080723-MOHK-002-B,CO,3.8,3.9,3.8,15.3,12.3,14,0.45,0.3,0.42
080723-MOHK-002-C,CO,3.1,3.1,3.1,5.5,5.5,5.6,0.38,0.285,0.42
080723-MOHK-003-A,DP,1.59,1.1,1.57,6.7,6.4,6.7,0.25,0.1276,0.13
080723-MOHK-003-B,DP,1.3,0.79,1.25,5.5,5.7,6,0.24,0.1152,0.13
080723-MOHK-003-C,DP,1.2,0.61,1.2,32.1,26.8,29.6,0.21,0.0945,0.12
080723-MOHK-004-A,DP,1.11,0.7,1.03,28.1,23.9,28.3,0.21,0.1281,0.14
080723-MOHK-004-B,DP,1.99,1.06,1.87,22.8,18.3,22.6,0.18,0.101,0.15
080723-MOHK-004-C,DP,1.4,1.19,1.58,12.9,10.7,11.2,0.17,0.0991,0.13
080723-MOHK-005-A,DP,7.97,4.05,7.62,17.4,14.3,15.7,0.07,0.0974,0.1
080723-MOHK-005-B,DP,2.01,1.76,1.93,14.4,12.2,13.3,0.07,0.096,0.13
080723-MOHK-005-C,DP,2.47,1.65,2.26,10.3,8,9.5,0.13,0.1389,0.15
080723-MOHK-006-A,DP,1.74,1.21,1.66,16.3,13.1,15,0.11,0.0901,0.13
080723-MOHK-006-B,DP,1.9,1.2,2.03,24.2,17,20,0.09,0.1197,0.17
080723-MOHK-006-C,DP,1.27,1.03,1.27,24.3,20.8,23.2,0.06,0.1168,0.1
080723-MOHK-007-A,DP,2.24,1.35,2.03,27.4,25.9,26.7,0.15,0.1205,0.18
080723-MOHK-007-B,DP,2.08,1.56,1.82,9,6.9,8.6,0.12,0.0926,0.17
080723-MOHK-007-C,DP,1.78,1.2,1.64,20.8,17.2,19,0.11,0.0893,0.14
080723-MOHK-008-A,CYOS,5,4,4.9,21.1,16.6,19.6,0.63,0.2,0.36
080723-MOHK-008-B,CYOS,3.3,2.1,3.2,17.9,14.6,16.4,0.63,0.24,0.19
080723-MOHK-008-C,CYOS,1.37,0.91,1.23,29.6,26.6,28.5,0.55,0.19,0.18
080723-MOHK-009-A,CYOS,4.59,3.54,4.48,34.6,30.6,33.3,0.56,0.18,0.21
080723-MOHK-009-B,CYOS,7.1,6.34,6.9,32.6,29.5,31.5,0.56,0.16,0.25
080723-MOHK-009-C,CYOS,1.66,1.09,1.63,30.4,27.7,29.4,0.58,0.17,0.2
072523-BULL-004-A,NAND,1.63,1.37,1.59,28.6,26.1,27.5,0.14,0.0902,0.18
072523-BULL-004-B,NAND,9.44,8.41,9.38,24.8,22.3,23.7,0.16,0.0916,0.14
072523-BULL-004-C,NAND,1.88,1.3,1.66,10.3,9.4,10,0.14,0.0834,0.22
072523-BULL-005-A,BF,1.66,1.44,1.67,4.53,3.58,4.4,0.2,0.0724,0.33
072523-BULL-005-B,BF,1.07,0.77,1.06,13,11.55,12.63,0.12,0.0796,0.185
072523-BULL-005-C,BF,2.57,1.88,2.7,17.14,16.46,17.75,0.13,0.0832,0.159
072523-BULL-006-A,POLA,2.61,2.23,2.53,8.7,7.27,8.39,0.1,0.0298,0.112
072523-BULL-006-B,POLA,3.36,2.72,3.57,14.28,12.66,14.53,0.12,0.0404,0.1
072523-BULL-006-C,POLA,3.75,3.2,3.64,8.77,7.19,8.8,0.15,0.0507,0.11
072523-BULL-006-D,POLA,4.04,2.85,3.97,6.34,5.98,6.76,0.14,0.0546,0.106
072523-BULL-007-A,BF,2.35,1.72,2.35,21,18.85,20.89,0.15,0.082,0.171
072523-BULL-007-B,BF,6.17,4.76,5.9,13.63,11.57,12.82,0.12,0.0821,0.1708
072523-BULL-007-C,BF,2.82,2.23,2.59,28.1,26.23,27,0.11,0.0686,0.1415
072523-BULL-008-A,BF,2.23,2.1,2.26,27.5,22.8,26.7,0.11,0.0434,0.205
072523-BULL-008-B,BF,2,1.48,1.87,13.14,12.53,13.03,0.11,0.0516,0.1326
072523-BULL-008-C,BF,4.58,4.31,4.52,14,13.86,14,0.15,0.0349,0.6166666667
072523-BULL-009-A,BF,2.21,1.44,2.19,15.3,14.02,15.95,0.14,0.0987,0.1988
072523-BULL-009-B,BF,2.92,2.2,2.68,15.95,14.52,15.16,0.21,0.0849,0.1847
072523-BULL-009-C,BF,4.62,3.43,4.6,12.7,10.77,12.36,0.14,0.0643,0.1744
072523-BULL-010-A,NAND,1.92,1.89,2.09,16.1,13.53,15.78,,,
072523-BULL-010-B,NAND,1.5,1.16,1.31,15.24,12.83,15.66,,,
072523-BULL-010-C,NAND,1.51,1.36,1.47,16.4,14.49,15.26,,,
072523-BULL-011-A,BF,6.1,5.01,5.95,4.52,3.93,4.27,,,
072523-BULL-011-B,BF,4.31,3.77,4.1,14.27,13.84,14,,,
072523-BULL-011-C,BF,2.01,1.63,1.92,13.09,11.68,12.89,,,
072523-BULL-012-A,BF,2.43,1.97,2.34,13.95,14.25,14.82,,,
072523-BULL-012-B,BF,2.22,1.45,2.07,9.66,7.86,9.43,,,
072523-BULL-012-C,BF,3.3,2.42,3.14,16.45,14.31,16.2,,,
,,,,,18.11,16.18,17.76,,,
,,,,,4.92,3.65,5.1,,,
