specimen_id,height_i,height_h,height_r,species
071123-NAPL-026-B,24.5,,,CC
071123-NAPL-026-C,21.6,,,CC
071123-NAPL-026-D,13.6,,,CC
072523-BULL-013-A,27.2,,,DL
072523-BULL-013-B,30,,,DL
072523-BULL-013-C,26.2,,,DL
073123-CARP-010-A,27.7,,,DP
073123-CARP-010-B,24,,,DP
073123-CARP-010-C,36,,,DP
073123-CARP-011-A,7.9,,,DP
073123-CARP-011-B,5,,,DP
073123-CARP-011-C,7.2,,,DP
073123-CARP-001-A,17.2,,,DP
073123-CARP-001-B,23.3,,,DP
073123-CARP-001-C,21.3,,,DP
073123-CARP-002-A,19.8,,,DP
073123-CARP-002-B,20,,,DP
073123-CARP-002-C,20,,,DP
073123-CARP-003-A,10,,,DP
073123-CARP-003-B,16.7,,,DP
073123-CARP-003-C,24.7,,,DP
073123-CARP-004-A,29.2,,,DP
073123-CARP-004-B,27.1,,,DP
073123-CARP-005-A,26.7,,,GR
073123-CARP-005-B,21.3,,,GR
073123-CARP-005-C,21.7,,,GR
073123-CARP-006-A,22.3,,,GR
073123-CARP-006-B,17,,,GR
073123-CARP-007-A,21.7,,,GR
073123-CARP-008-A,22.3,,,GR
073123-CARP-009-A,17,,,GR
072523-BULL-014-B,,,,DL
072523-BULL-014-C,,,,DL
072523-BULL-015-A,,,,DL
072523-BULL-015-B,,,,DL
072523-BULL-015-C,,,,DL
080723-MOHK-10-A,13.3,,,CYOS
080723-MOHK-010-B,27.3,,,CYOS
080723-MOHK-010-C,30.1,,,CYOS
080723-MOHK011-A,25.7,,,CYOS
080723-MOHK-11-B,46.9,,,CYOS
080723-MOHK-11-C,25.5,,,CYOS
080723-MOHK-12-A,35.9,,,CYOS
080723-MOHK-12-B,21.4,,,CYOS
080723-MOHK-12-C,46.4,,,CYOS
080723-MOHK-13-A,8.7,,,R
080723-MOHK-13-B,8,,,R
080723-MOHK-16-A,3.7,,,R
080723-MOHK-16-B,2.5,,,R
080723-MOHK-15-A,10.9,,,R
080723-MOHK-15-B,11.5,,,R
080723-MOHK-15-C,10.1,,,R
080723-MOHK-14-A,7.1,,,R
080723-MOHK-014-B,7.4,,,R
080723-MOHK-014-C,7.8,,,R
080723-MOHK-022-A,22.6,,,R
080723-MOHK-022-B,12.3,,,R
080723-MOHK-022-C,19.4,,,R
080723-MOHK-021-A,4.8,,,CO
080723-MOHK-021-B,9.7,,,CO
080723-MOHK-021-C,12.5,,,CO
080723-MOHK-020-A,15.8,,,CO
080723-MOHK-020-B,13,,,CO
080723-MOHK-020-C,15.2,,,CO
080723-MOHK-019-A,8.7,,,CO
080723-MOHK-019-B,7.3,,,CO
080723-MOHK-019-C,9.7,,,CO
080723-MOHK-018-A,7.5,,,CO
080723-MOHK-018-B,7.8,,,CO
080723-MOHK-018-C,6.7,,,CO
080723-MOHK-017-A,6.4,,,CO
080723-MOHK-017-B,6.3,,,CO
080723-MOHK-017-C,7.2,,,CO
080723-MOHK-001-A,14.9,,,DP
080723-MOHK-001-B,22.6,,,DP
080723-MOHK-001-C,15.3,,,DP
080723-MOHK-002-A,5.5,,,CO
080723-MOHK-002-B,6.7,,,CO
080723-MOHK-002-C,5.5,,,CO
080723-MOHK-003-A,32.1,,,DP
080723-MOHK-003-B,28.1,,,DP
080723-MOHK-003-C,31.1,,,DP
080723-MOHK-004-A,12.9,,,DP
080723-MOHK-004-B,17.4,,,DP
080723-MOHK-004-C,14.4,,,DP
