specimen_id,height_i,height_h,height_r,species,calculated_ir,percent_difference_r
071123-NAPL-025-A,22.6,18.6,22.9,CC,23.39856,3.533451327
071123-NAPL-025-B,24.1,18.9,24.2,CC,24.7308,2.617427386
071123-NAPL-025-C,20.5,17.2,20.5,CC,20.93904,2.141658537
071123-NAPL-026-A,27.1,21.1,28.2,CC,28.83,6.383763838
071123-NAPL-026-B,24.5,19.1,24,CC,24.52584,0.1054693878
071123-NAPL-026-C,21.6,17.1,21.5,CC,21.96384,1.684444444
071123-NAPL-026-D,13.6,10.9,12.8,CC,13.04808,4.058235294
072523-BULL-013-A,30.57,19.048,28.118,DL,28.7459664,5.966743867
072523-BULL-013-B,25.693,22.8,25.8,DL,26.37048,2.636827151
072523-BULL-013-C,24.971,22.1,24.9,DL,25.44816,1.910856594
073123-CARP-010-A,15.42,13.6,14.3,DP,14.58528,5.413229572
073123-CARP-010-B,17.6,15.3,17.6,DP,17.96712,2.085909091
073123-CARP-010-C,15.5,13.2,14.55,DP,14.84148,4.248516129
073123-CARP-011-A,16.3,13.9,15.3,DP,15.61008,4.232638037
073123-CARP-011-B,12.8,11.1,12.2,DP,12.4332,2.865625
073123-CARP-011-C,24.5,22.3,24.5,DP,25.03824,2.196897959
073123-CARP-001-A,7.9,5.8,7.5,DP,7.61664,3.586835443
073123-CARP-001-B,5,4.5,5.3,DP,5.36208,7.2416
073123-CARP-001-C,7.2,6.1,7.1,DP,7.20672,0.09333333333
073123-CARP-002-A,17.2,14.4,16.3,DP,16.63488,3.285581395
073123-CARP-002-B,23.3,19.7,21.6,DP,22.06632,5.294763948
073123-CARP-002-C,21.3,14.5,20.4,DP,20.83656,2.175774648
073123-CARP-003-A,19.8,17.6,18.8,DP,19.19688,3.046060606
073123-CARP-003-B,20,14.9,19.2,DP,19.6068,1.966
073123-CARP-003-C,20,14.1,19.5,DP,19.91424,0.4288
073123-CARP-004-A,10,8.6,11.3,DP,11.51088,15.1088
073123-CARP-004-B,16.7,15.5,16.9,DP,17.24976,3.291976048
073123-CARP-005-A,23.6,22.3,23.3,GR,23.80848,0.8833898305
073123-CARP-005-B,29.2,28.1,29.1,GR,29.75232,1.891506849
073123-CARP-005-C,27.1,24,27,GR,27.60024,1.845904059
073123-CARP-006-A,20,16.6,19.5,GR,19.91424,0.4288
073123-CARP-006-B,20.56,20,20.1,GR,20.52912,0.1501945525
073123-CARP-007-A,21.7,20.9,21.1,GR,21.55392,0.6731797235
073123-CARP-008-A,23.2,23,23,GR,23.50104,1.297586207
073123-CARP-009-A,17.2,16.8,17,GR,17.35224,0.8851162791
080723-MOHK-10-A,13.3,11.3,12.7,CYOS,12.9456,2.664661654
080723-MOHK-010-B,27.3,24.6,26.2,CYOS,26.7804,1.903296703
080723-MOHK-010-C,30.1,27.1,29.1,CYOS,29.75232,1.155083056
080723-MOHK011-A,25.7,23.3,25.1,CYOS,25.65312,0.1824124514
080723-MOHK-11-B,46.9,24.1,46.5,CYOS,47.58384,1.458081023
080723-MOHK-11-C,25.5,21.8,25.3,CYOS,25.85808,1.404235294
080723-MOHK-12-A,35.9,31.9,35.2,CYOS,36.0036,0.2885793872
080723-MOHK-12-B,21.4,19.7,20.8,CYOS,21.24648,0.7173831776
080723-MOHK-12-C,46.4,26.8,44.9,CYOS,45.94416,0.9824137931
080723-MOHK-13-A,8.7,7,8.1,R,8.23152,5.384827586
080723-MOHK-13-B,8,7.4,8,R,8.12904,1.613
080723-MOHK-16-A,3.7,3.3,3.7,R,3.7224,0.6054054054
080723-MOHK-16-B,2.5,2.3,2.5,R,2.49264,0.2944
080723-MOHK-15-A,17.815,16.518,18,R,18.37704,3.154869492
080723-MOHK-15-B,11.5,7.9,10.9,R,11.10096,3.469913043
080723-MOHK-15-C,10.1,9.3,10,R,10.17864,0.7786138614
080723-MOHK-14-A,7.1,6.6,6.9,R,7.00176,1.383661972
