specimen_id,thickness_mm_i_1,thickness_mm_i_2,thickness_mm_i_3,thickness_mm_i_4,thickness_mm_i_5,thickness_mm_i_6,thickness_mm_i_7,thickness_mm_i_8,thickness_mm_i_9,thickness_mm_i_10
080723-MOHK-019-C,0.8,0.3,0.4,0.7,0.7,0.8,0.3,0.5,1,0.5
080723-MOHK-018-A,1.1,0.9,0.3,0.6,0.5,0.7,0.3,0.4,0.6,0.3
080723-MOHK-018-B,0.8,0.8,0.7,0.5,0.5,0.5,0.7,0.5,0.4,0.7
080723-MOHK-018-C,0.9,0.4,0.6,0.5,0.5,0.4,0.5,0.5,1,0.3
080723-MOHK-017-A,1,0.9,0.5,0.4,0.5,0.4,0.6,0.6,0.7,0.5
080723-MOHK-017-B,0.6,0.5,0.4,0.5,0.6,0.7,0.7,0.5,0.5,0.5
080723-MOHK-017-C,0.9,0.6,0.9,0.6,0.4,0.6,0.8,0.6,0.6,0.7
080723-MOHK-001-A,0.4,0.2,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0.4
080723-MOHK-001-B,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.2
080723-MOHK-001-C,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.3
080723-MOHK-002-A,0.7,0.2,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4
080723-MOHK-002-B,0.7,0.5,0.2,0.4,0.2,0.5,0.3,0.3,0.6,0.8
080723-MOHK-002-C,1,0.6,0.1,0.1,0.1,0.1,0.4,0.4,0.2,0.8
080723-MOHK-003-A,0.3,0.1,0.3,0.1,0.4,0.4,0.4,0.2,0.2,0.1
080723-MOHK-003-B,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.2
080723-MOHK-003-C,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0.2,0.3,0.2
080723-MOHK-004-A,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.3,0.1
080723-MOHK-004-B,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.1
080723-MOHK-004-C,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.3
080723-MOHK-005-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0
080723-MOHK-005-B,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0
080723-MOHK-005-C,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0,0,0
080723-MOHK-006-A,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0
080723-MOHK-006-B,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1
080723-MOHK-006-C,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0
080723-MOHK-007-A,0.1,0.2,0.2,0.1,0,0.3,0.2,0.3,0.1,0
080723-MOHK-007-B,0.2,0.1,0.1,0.2,0.1,0,0.1,0.2,0.2,0
080723-MOHK-007-C,0.2,0.1,0,0.2,0.1,0,0.1,0.2,0.2,0
080723-MOHK-008-A,1.5,0.2,0.6,0.4,0.3,0.9,0.9,0.2,0.6,0.7
080723-MOHK-008-B,1.3,0.8,0.3,0.3,0.6,0.8,0.6,0.7,0.4,0.5
080723-MOHK-008-C,1.6,0.5,0.5,0.2,0.5,0.4,0.1,0.7,0.5,0.5
080723-MOHK-009-A,1.4,0.6,0.3,0.3,0.4,0.4,1,0.3,0.7,0.2
080723-MOHK-009-B,1.1,0.9,0.1,0.4,0.3,0.4,1,0.4,0.5,0.5
080723-MOHK-009-C,1.1,0.2,0.6,1.1,0.2,0.3,0.3,0.9,0.8,0.3
072523-BULL-001-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-002-C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-003-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
072523-BULL-004-A,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1
072523-BULL-004-B,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2
072523-BULL-004-C,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
072523-BULL-005-A,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
