specimen_id,thickness_mm_r_1,thickness_mm_r_2,thickness_mm_r_3,thickness_mm_r_4,thickness_mm_r_5,thickness_mm_r_6,thickness_mm_r_7,thickness_mm_r_8,thickness_mm_r_9,thickness_mm_r_10
080723-MOHK-12-C,0.3,0.3,0.1,0.3,0.1,0.3,0.1,0.2,0.1,0.4
080723-MOHK-13-A,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-13-B,0.1,0.2,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.1
080723-MOHK-16-A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-16-B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
080723-MOHK-15-A,0.4,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.4
080723-MOHK-15-B,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1
080723-MOHK-15-C,0.1,0.1,0.2,0.1,0.1,0.3,0.1,0.2,0.1,0.2
080723-MOHK-14-A,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
080723-MOHK-014-B,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.2
080723-MOHK-014-C,0.1,0.1,0.2,0.2,0.4,0.1,0.1,0.2,0.2,0.1
080723-MOHK-022-A,0.6,0.6,0.4,0.7,0.5,0.4,0.8,0.6,0.6,0.4
080723-MOHK-022-B,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.2
080723-MOHK-022-C,0.5,0.8,0.5,0.5,0.7,0.3,0.5,0.5,0.3,0.3
080723-MOHK-021-A,0.7,0.4,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.6
080723-MOHK-021-B,0.1,0.4,0.5,0.8,0.6,0.7,0.6,0.3,0.5,0.2
080723-MOHK-021-C,0.5,0.4,0.3,0.4,0.3,0.4,0.6,0.8,0.4,0.6
080723-MOHK-020-A,0.6,0.5,0.7,0.5,0.4,0.6,0.4,0.6,0.6,0.4
080723-MOHK-020-B,0.2,0.4,0.5,0.7,0.3,0.5,0.4,0.6,0.5,0.3
080723-MOHK-020-C,0.4,0.5,0.4,0.6,0.4,0.6,0.6,0.4,0.4,0.4
080723-MOHK-019-A,0.9,0.7,0.6,0.5,0.3,0.4,0.4,0.6,0.5,0.4
080723-MOHK-019-B,0.5,0.3,0.6,0.6,0.3,0.5,0.8,0.5,0.2,0.3
080723-MOHK-019-C,0.6,0.4,0.5,0.7,0.6,0.5,0.5,0.5,0.6,0.7
080723-MOHK-018-A,0.7,0.5,0.4,0.4,0.7,0.3,0.9,0.4,0.3,0.7
080723-MOHK-018-B,0.5,0.3,0.6,0.5,0.7,0.5,0.2,0.6,0.6,0.4
080723-MOHK-018-C,0.3,0.6,0.5,0.5,0.3,0.5,0.5,0.5,0.4,0.8
080723-MOHK-017-A,0.7,0.7,0.6,0.5,0.6,0.6,0.5,0.7,0.3,0.5
080723-MOHK-017-B,0.5,0.5,0.3,0.5,0.7,0.7,0.4,0.5,0.4,0.5
080723-MOHK-017-C,0.6,0.5,0.7,0.9,0.6,0.5,0.7,0.5,0.6,0.7
080723-MOHK-001-A,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
080723-MOHK-001-B,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2
080723-MOHK-001-C,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
080723-MOHK-002-A,0.5,0.5,0.4,0.5,1.1,1.2,0.4,0.3,0.7,0.4
080723-MOHK-002-B,0.6,0.5,0.4,0.4,0.4,0.3,0.2,0.5,0.4,0.5
080723-MOHK-002-C,0.7,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.7
080723-MOHK-003-A,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2
080723-MOHK-003-B,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
080723-MOHK-003-C,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
080723-MOHK-004-A,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1
080723-MOHK-004-B,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1
080723-MOHK-004-C,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1
