specimen_id,surf_i,surf_h,surf_r,species,,,MAKE ALL PIXEL
072523-BULL-007-A,90.76,59.527,79.69,BF,,,
072523-BULL-007-B,129.347,81.541,116.688,BF,,,
072523-BULL-007-C,120.259,81.466,121.981,BF,,,
072523-BULL-008-A,73.44,44.252,65.255,BF,,,
072523-BULL-008-B,95.662,47.253,79.27,BF,,,
072523-BULL-008-C,45.62,30.926,45.791,BF,,,
072523-BULL-009-A,66.442,39.296,61.174,BF,,,
072523-BULL-009-B,71.394,36.327,61.348,BF,,,
072523-BULL-009-C,35.041,16.831,29.501,BF,,,
072523-BULL-010-A,22.137,15.137,20.32,NAND,,,
072523-BULL-010-B,33.611,21.191,23.82,NAND,,,
072523-BULL-010-C,54.278,34.122,46.091,NAND,,,
072523-BULL-011-A,24.18,13.219,22.142,BF,,,
072523-BULL-011-B,47.546,31.921,51.784,BF,,,
072523-BULL-011-C,26.675,14.297,21.443,BF,,,
072523-BULL-012-A,83.188,50.255,79.671,BF,,,
072523-BULL-012-B,190.254,114.021,167.798,BF,,,
072523-BULL-012-C,60.098,38.776,56.226,BF,,,
